id;warehouse_id;wh_name;address;pincode;city;state;country;g_st_details;manager_name;manager_email;manager_contact;contact;is_deleted;is_active;last_modified;last_modified_by
1;84062;Pound Metal;Home Somoni;86827;Tigard;Points synergistic TCP;Mali;Marketing Mandatory streamline;Concrete Manager Fish;wireless optical;Fresh;orchestrate Cambridgeshire;true;true;2022-03-02T03:03:34;invoice
2;9282;RSS Cyprus Intranet;RSS Director;38474;Graciefurt;Up-sized;Venezuela;Incredible Steel Salad;navigate bandwidth;Algerian explicit;sensor architect withdrawal;Underpass models;false;true;2022-03-02T00:54:42;Fresh
3;1918;neural;programming Avon systemic;5081;Franeckimouth;Radial schemas Supervisor;Trinidad and Tobago;Tactics Rubber;Coordinator;Grocery;Road;transmitting;false;false;2022-03-01T18:42:28;collaborative
4;43778;Data;cohesive;97176;Lake Marta;interface hacking;American Samoa;Supervisor Vatu Rubber;calculating Steel Bacon;Lek override;Lek withdrawal Refined;hacking Pound;true;true;2022-03-02T01:47:48;enhance Account
5;41142;Rubber Via;Borders Human Rubber;75379;Katlynnport;Architect maroon;Nicaragua;mesh;Orchestrator transmit;multi-tasking Plastic connecting;mobile SAS RAM;robust;true;true;2022-03-01T20:30:43;logistical indigo
6;19588;Cheese Administrator;viral;75354;West Mae;Soap collaboration;Jamaica;bypass withdrawal Baby;Multi-layered Berkshire;Engineer Massachusetts Ball;visualize hack ADP;Mills black Mozambique;true;true;2022-03-01T21:58:52;program Intelligent
7;70919;neutral SQL Tuna;Dakota Towels;35469;South Margarete;approach Avon TCP;Reunion;Graphic;Bike Shirt;Bedfordshire Unions Cove;Benin Metal;ivory;true;false;2022-03-02T07:03:50;Operations
8;55865;Soap Avon next;Global;46443;Tressieside;Bacon;Germany;logistical;reboot robust;systems Ergonomic Computer;plum e-markets utilisation;calculate;false;false;2022-03-02T07:12:43;Oregon e-markets Designer
9;92859;Mill Switchable;bus capacity;9642;Port Mckayla;transparent Silver hard;United Kingdom;Kroon;California;e-commerce;SSL Shirt protocol;Investor 24/365 leading-edge;false;false;2022-03-01T19:03:31;Cheese
10;20626;Bacon Account;Plastic;14059;Port Sierra;Caicos Savings Personal;Cayman Islands;auxiliary Liaison Bike;customer EXE deposit;Rican;Grocery;logistical invoice index;true;true;2022-03-02T11:33:39;XSS Loan mission-critical
