id;short_name;chemical_formula;hsn_no;material_image;is_deleted;is_active;product_name;alert_units;cas_number;catlog_number;molecular_wt;molecular_formula;chemical_name;structure_img;description;qr_code;bar_code;gst_percentage;product_type;last_modified;last_modified_by;free_field_1;free_field_2;free_field_3;free_field_4
1;Steel;Assistant;cross-platform Principal;wireless Computer;true;true;deposit Track actuating;Unbranded Soap;applications Metical;throughput;46442;transmitting New Bedfordshire;Malagasy intranet;neutral;Bike;Computer CFP orange;Village;95487;PRODUCT;2022-03-01T17:34:04;indigo JSON Mexico;Steel;solutions;Prairie;invoice
2;Bike Shoes Center;tangible;Cheese Renminbi;Consultant online;true;false;Stand-alone Fantastic Sleek;AGP lavender;navigate brand up;systems Gorgeous;6953;Ergonomic relationships back-end;solution Zimbabwe Games;Account transmit Incredible;programming Algeria Rustic;Taka;wireless Practical Solutions;54007;NONE;2022-03-01T15:03:34;Square Checking Coordinator;Product;Administrator CFA;Colombian B2C;bypassing Gateway Virtual
3;index Account Concrete;Soft;deposit clear-thinking focus;Loan;true;false;sky;Engineer generating;portals Berkshire intuitive;Concrete Account Account;99880;grid-enabled Tasty Keyboard;Producer;back-end application;USB Future;Venezuela JBOD;mint;95426;BOTH;2022-03-02T00:53:51;Facilitator Nebraska;circuit Regional JBOD;Directives;Guinea-Bissau SCSI;Serbia
4;content Cordoba;Functionality multi-tasking;primary Plastic;Infrastructure Buckinghamshire Avon;true;true;clicks-and-mortar;Rubber aggregate indexing;Computer PCI;Visionary Baby teal;23964;Integrated Refined IB;payment maximize;Colombian;indigo;Taka payment;back-end Liechtenstein U.S.;83251;PRODUCT;2022-03-01T23:39:25;wireless user-facing;Account compress;auxiliary Oman Shirt;Pizza Metal;Account
5;paradigms Incredible radical;alarm;Marketing;plum Creative;true;false;Plastic orange;partnerships Music;Wells;Arabia Avon;17308;global;and visualize envisioneer;Borders next incentivize;Madagascar Group HTTP;RSS optical;cutting-edge Soap;87124;BOTH;2022-03-01T11:41:09;primary;Sleek;deposit;copying Ouguiya;International
6;bleeding-edge Chief;generate facilitate port;scalable Sports collaboration;Carolina Planner;false;false;Generic;Designer;e-commerce matrix mesh;bypassing Borders up;59541;Idaho wireless;Utah Inlet Assistant;microchip wireless;Account Brooks;Unbranded;adapter Auto neural;54441;BOTH;2022-03-02T06:15:35;Handcrafted;Maine transition Bedfordshire;primary Configuration;PCI concept pixel;bluetooth Lodge
7;Incredible Lake Home;invoice;Barbuda;Tuna;false;true;customized GB;scalable Kentucky Spur;Mobility Cross-platform infrastructures;bi-directional Mexico;85148;Berkshire synthesizing Parks;Islands;virtual;Checking expedite;hack optical Washington;invoice maroon;99999;RAWMATERIAL;2022-03-02T01:22:46;Square framework;Inlet Paradigm neural-net;Springs;Borders indexing AGP;British
8;metrics Inlet Chips;Madagascar;Identity Infrastructure;index Rica;true;true;Accounts Account;harness;quantifying Bike Awesome;Fantastic Steel Intelligent;28507;initiative Corporate;Rue reintermediate;indexing;Metal;Point;capacitor Gorgeous;42820;BOTH;2022-03-01T20:56:17;Intuitive bluetooth Louisiana;Granite Music scalable;real-time;quantify;Automotive
9;Idaho interactive Card;indexing deposit Georgia;interfaces reboot;generate Cotton;true;true;cross-platform;calculating Soap;Chicken;Applications;22619;Kroon;deposit circuit Clothing;XML;collaboration installation payment;Shoes District;Card Swaziland Arkansas;11848;PRODUCT;2022-03-02T06:28:21;Ameliorated e-business;navigating structure;Swedish Robust;Direct;Connecticut
10;Saint application;capacitor Greens Gorgeous;Route Corporate;TCP Papua Director;true;true;Identity;payment;Research transmitter;invoice;35142;Wooden;compress;Reduced;Administrator Handmade Granite;matrix Krone;CSS;77567;NONE;2022-03-01T12:56:13;Toys;Kyrgyz Dynamic Intranet;Analyst;Plastic;black
