id;unit_name;short_name;free_field_1;free_field_2;last_modified;last_modified_by;is_deleted;is_active
1;Automotive;complexity Berkshire Fish;lavender Fantastic Salad;ivory Steel;2022-03-02T05:55:52;Home Web Netherlands;false;false
2;system deg;hacking gold programming;overriding;purple;2022-03-02T00:24:15;Lakes one-to-one Generic;true;true
3;Generic Gloves International;24/7 revolutionize users;Dynamic Dynamic applications;Generic;2022-03-01T17:23:21;Buckinghamshire leading-edge Bedfordshire;false;true
4;Court Trail;maroon analyzer Valley;Frozen eyeballs;Solutions Chicken;2022-03-02T03:57:43;Solutions Refined Oklahoma;false;true
5;compress Cheese Checking;Tools Health;override Pines Cambridgeshire;Iowa;2022-03-02T01:50:41;Plastic Crest Forward;true;false
6;Small architecture group;Intelligent Administrator;synthesize;invoice Rubber Pizza;2022-03-01T13:08:03;Jewelery Borders Account;true;false
7;maximize;Licensed Colorado;RAM;Cameroon real-time;2022-03-01T21:54:07;JBOD;true;true
8;Dollar Chief;Burundi Licensed SQL;Berkshire program Gloves;Planner;2022-03-01T21:49:35;Cross-group indigo;false;false
9;Networked;Investment technologies;Object-based e-tailers revolutionize;Towels structure;2022-03-02T06:58:52;asymmetric;true;false
10;Fully-configurable deposit interactive;invoice De-engineered platforms;copying;Mouse Rustic Refined;2022-03-01T13:01:02;Walks JBOD;false;false
