id;transfer_date;qty_transfered;qty_received;comment;free_field_1;free_field_2;last_modified;last_modified_by;is_deleted;is_active
1;2022-03-01T18:29:47;93555;56090;cultivate neutral;solutions turquoise Checking;Salad Multi-tiered;2022-03-01T14:34:37;eyeballs;true;false
2;2022-03-01T10:42:01;10638;67749;Small deliverables payment;SQL Avon;Rustic Practical;2022-03-01T14:20:02;parse transmitting Wooden;true;true
3;2022-03-01T07:45:10;22254;53194;Home;Station connect;Bedfordshire copy Human;2022-03-01T14:35:38;Games driver;true;true
4;2022-03-02T07:39:02;3717;7583;payment calculating;connecting;moratorium invoice;2022-03-01T10:50:20;redundant Tasty Street;false;false
5;2022-03-01T08:21:03;60478;73261;online deposit Village;Branding engine Garden;withdrawal visionary;2022-03-01T19:21:56;Generic;true;true
6;2022-03-01T19:31:20;53717;42448;Mouse;seize index withdrawal;morph;2022-03-02T02:17:51;cultivate programming Connecticut;false;false
7;2022-03-01T17:52:09;99722;88181;multi-byte;models Cheese system;Lead;2022-03-01T19:01:26;Borders killer;false;true
8;2022-03-01T18:17:30;99944;18933;Generic recontextualize;Rubber Branding;Berkshire;2022-03-01T11:34:58;dedicated;false;true
9;2022-03-01T13:28:31;76248;69930;Investor;generating;PCI Somali 24/7;2022-03-01T12:57:12;Borders;true;false
10;2022-03-01T22:34:09;55121;27527;Planner Glen;mobile Card;Sahara Chief;2022-03-02T01:09:21;Account;false;false
