id;approval_date;qty;comment;free_field_1;free_field_2;last_modified;last_modified_by;is_deleted;is_active
1;2022-03-02T01:53:49;13957;back Supervisor;(Malvinas) Concrete internet;indexing;2022-03-01T11:01:08;tangible;false;true
2;2022-03-01T14:40:26;84501;Cambridgeshire;Benin Georgia;Data back-end;2022-03-01T18:46:51;withdrawal Intelligent Industrial;true;false
3;2022-03-02T01:01:19;15615;SSL Towels;systemic Functionality orchid;Kids connecting;2022-03-01T23:26:12;Personal;false;false
4;2022-03-01T13:11:11;62592;Argentina;Small XML Global;Soft markets Implementation;2022-03-02T04:53:16;navigating Communications quantify;false;true
5;2022-03-01T08:00:23;78290;Arkansas Outdoors;system Cordoba;Functionality;2022-03-01T09:27:51;Wyoming;true;true
6;2022-03-01T13:11:53;53859;Iceland;Refined;Facilitator;2022-03-01T19:04:27;didactic RSS;true;false
7;2022-03-02T05:57:03;30564;relationships Cheese Yemen;copying Account;Uganda;2022-03-01T10:39:05;District Fish Iran;true;false
8;2022-03-01T07:57:08;89054;Grass-roots;cutting-edge Chilean;hack;2022-03-02T01:13:54;tan;false;false
9;2022-03-01T19:07:05;96787;methodologies;violet orchestration Producer;AI Refined Account;2022-03-01T18:21:51;SMS;false;false
10;2022-03-02T00:07:47;43538;Tanzania Fresh Dollar;copying;ivory Cambridgeshire;2022-03-02T04:12:14;Senior migration;true;false
